,,,
,,Time,Reaction
,,4.4166666667,-0.8650802012
,,4.4333333333,-0.8714500388
,,4.45,-0.8776119565
,,4.4666666667,-0.8835501822
,,4.4833333333,-0.8892498498
,,4.5,-0.894697031
,,4.5166666667,-0.8998787646
,,4.5333333333,-0.9047830818
,,4.55,-0.9093990287
,,4.5666666667,-0.9137166848
,,4.5833333333,-0.9177271789
,,4.6,-0.9214227006
,,4.6166666667,-0.9247965091
,,4.6333333333,-0.9278429386
,,4.65,-0.9305574
,,4.6666666667,-0.9329363792
,,4.6833333333,-0.934977433
,,4.7,-0.936679181
,,4.7166666667,-0.9380412942
,,4.7333333333,-0.9390644817
,,4.75,-0.9397504732
,,4.7666666667,-0.9401019993
,,4.7833333333,-0.940122769
,,4.8,-0.9398174442
,,4.8166666667,-0.9391916123
,,4.8333333333,-0.9382517554
,,4.85,-0.9370052185
,,4.8666666667,-0.9354601743
,,4.8833333333,-0.9336255867
,,4.9,-0.9315111723
,,4.9166666667,-0.9291273599
,,4.9333333333,-0.9264852487
,,4.95,-0.9235965652
,,4.9666666667,-0.9204736181
,,4.9833333333,-0.9171292531
,,5,-0.9135768055
,,5.0166666667,-0.9098300533
,,5.0333333333,-0.9059031686
,,5.05,-0.9018106687
,,5.0666666667,-0.8975673677
,,5.0833333333,-0.8931883262
,,5.1,-0.8886888031
,,5.1166666667,-0.8840842052
,,5.1333333333,-0.8793900393
,,5.15,-0.8746218627
,,5.1666666667,-0.8697952359
,,5.1833333333,-0.8649256746
,,5.2,-0.8600286036
,,5.2166666667,-0.855119311
,,5.2333333333,-0.8502129036
,,5.25,-0.8453242637
,,5.2666666667,-0.8404680069
,,5.2833333333,-0.8356584414
,,5.3,-0.8309095293
,,5.3166666667,-0.8262348483
,,5.3333333333,-0.8216475568
,,5.35,-0.8171603591
,,5.3666666667,-0.8127854736
,,5.3833333333,-0.8085346026
,,5.4,-0.8044189041
,,5.4166666667,-0.8004489655
,,5.4333333333,-0.7966347794
,,5.45,-0.7929857221
,,5.4666666667,-0.7895105337
,,5.4833333333,-0.7862173006
